"id","from_visit","place_id","visit_date","visit_type","session"
1,0,167817,1311087645746008,1,0
2,0,167818,1311087733401289,1,0
3,2,167819,1311087733637855,6,0
4,3,167820,1311087739518550,1,0
5,4,167821,1311087743522257,1,0
6,5,167822,1311087749655970,1,0
7,6,167823,1311087753454450,1,0
8,7,167824,1311087760324376,1,0
9,8,167825,1311087777326840,1,0
10,6,167826,1311087799227412,1,0
11,10,167827,1311087806384562,1,0
12,11,167828,1311087822358263,1,0
13,12,167829,1311087882874938,1,0
14,13,167830,1311087908990328,1,0
15,14,167831,1311088006683526,1,0
16,15,167832,1311088039096121,1,0
17,0,167833,1311088135260358,1,0
18,0,167834,1311088407094394,1,0
19,0,167835,1311088422083430,1,0
20,0,167836,1311088447760788,1,0
21,20,167837,1311088447810498,1,0
22,21,167838,1311088507767940,1,0
23,22,167839,1311088511223250,1,0
24,23,167840,1311088517979575,1,0
25,24,167841,1311088518021907,1,0
26,0,167842,1311088684457775,1,0
27,0,167836,1311089301223236,1,0
28,27,167837,1311089301263445,1,0
29,28,167843,1311089306871168,1,0
30,29,167837,1311089306932723,1,0
31,30,167844,1311089322433053,1,0
32,31,167845,1311089333227612,1,0
33,32,167846,1311089335735098,1,0
34,33,167847,1311089335749636,1,0
35,34,167848,1311089345211771,1,0
36,35,167849,1311089361444104,1,0
37,36,167850,1311089363539106,1,0
38,37,167851,1311089373102402,1,0
39,37,167852,1311089409984535,1,0
40,39,167853,1311089440324296,1,0
41,40,167854,1311089465234701,1,0
42,41,167855,1311089492875649,1,0
43,42,167856,1311089498695595,1,0
44,43,167857,1311089504733377,1,0
45,44,167858,1311089510355200,1,0
46,45,167859,1311089512566282,1,0
47,46,167860,1311089513875924,1,0
48,47,167861,1311089515633376,1,0
49,48,167862,1311089518375107,1,0
50,49,167863,1311089519966461,1,0
51,50,167864,1311089524078632,1,0
52,51,167865,1311089526127397,1,0
53,52,167866,1311089527564247,1,0
54,53,167867,1311089531551645,1,0
55,54,167868,1311089532696978,1,0
56,55,167869,1311089533556840,1,0
57,56,167870,1311089534381615,1,0
58,57,167871,1311089536562672,1,0
59,58,167872,1311089537693579,1,0
60,59,167873,1311089539007552,1,0
61,60,167874,1311089539727789,1,0
62,61,167875,1311089540906278,1,0
63,62,167876,1311089541520274,1,0
64,63,167877,1311089542203314,1,0
65,64,167878,1311089543458291,1,0
66,65,167879,1311089544014044,1,0
67,66,167880,1311089545067814,1,0
68,67,167881,1311089548272669,1,0
69,68,167882,1311089553627268,1,0
70,69,167883,1311089554652171,1,0
71,70,167884,1311089555676790,1,0
72,71,167885,1311089556301990,1,0
73,72,167886,1311089556982717,1,0
74,73,167887,1311089557525484,1,0
75,74,167888,1311089558489568,1,0
76,75,167889,1311089559417750,1,0
77,76,167890,1311089560263529,1,0
78,77,167891,1311089561321102,1,0
79,78,167892,1311089562025122,1,0
80,79,167893,1311089562575838,1,0
81,80,167894,1311089563046189,1,0
82,81,167895,1311089563636530,1,0
83,82,167896,1311089564407862,1,0
84,83,167897,1311089565500563,1,0
85,84,167898,1311089566330077,1,0
86,85,167899,1311089567351302,1,0
87,86,167900,1311089569396548,1,0
88,87,167901,1311089571928654,1,0
89,88,167902,1311089575002706,1,0
90,89,167903,1311089575991187,1,0
91,90,167904,1311089578015462,1,0
92,91,167905,1311089580718114,1,0
93,92,167906,1311089585492913,1,0
94,93,167907,1311089586343848,1,0
95,94,167908,1311089587115755,1,0
96,95,167909,1311089587898952,1,0
97,96,167910,1311089589032106,1,0
98,97,167911,1311089590007637,1,0
99,98,167912,1311089590859981,1,0
100,99,167913,1311089591835068,1,0
101,100,167914,1311089592422684,1,0
102,101,167915,1311089593334371,1,0
103,102,167916,1311089593984076,1,0
104,103,167917,1311089594684046,1,0
105,104,167918,1311089595074661,1,0
106,105,167919,1311089595805755,1,0
